Park_Code,Park_Name,IM_Network,CASC_Region,State,TSN,Order,Family,Scientific_Name,Common_Names,Verified_Date,Park_OccurrenceStatus,Notes,Verified_Source,Park_Synonyms,NPSpecies_Occurrence,NPSpecies_OccTag,Abundance,Nativeness,GRank,SRank,IUCNRank
ABLI,Abraham Lincoln Birthplace National Historical Park,CUPN,NE,KY,173520,Anura,Hylidae,Acris crepitans,"Northern Cricket Frog, Eastern Cricket Frog",2020-09-08,Present,,https://irma.nps.gov/DataStore/DownloadFile/420948,Acris crepitans crepitans,Present,,Common,Native,G5,KY: S5,LC
ABLI,Abraham Lincoln Birthplace National Historical Park,CUPN,NE,KY,208204,Caudata,Ambystomatidae,Ambystoma barbouri,Streamside Salamander,2020-09-08,Adjacent,,https://irma.nps.gov/DataStore/DownloadFile/420948,,Not In Park,Adjacent,,Native,G4,KY: S4,NT
ABLI,Abraham Lincoln Birthplace National Historical Park,CUPN,NE,KY,173598,Caudata,Ambystomatidae,Ambystoma jeffersonianum,Jefferson Salamander,2020-09-08,Adjacent,Expected but not observed,https://irma.nps.gov/DataStore/DownloadFile/420948,,Unconfirmed,,,Native,G4,KY: S4,LC
ABLI,Abraham Lincoln Birthplace National Historical Park,CUPN,NE,KY,173590,Caudata,Ambystomatidae,Ambystoma maculatum,Spotted Salamander,2020-09-08,Adjacent,Expected but not observed,https://irma.nps.gov/DataStore/DownloadFile/420948,,Unconfirmed,,,Native,G5,KY: S5,LC
ABLI,Abraham Lincoln Birthplace National Historical Park,CUPN,NE,KY,173591,Caudata,Ambystomatidae,Ambystoma opacum,Marbled Salamander,2020-09-08,Adjacent,,https://irma.nps.gov/DataStore/DownloadFile/420948,,Not In Park,Adjacent,,Native,G5,KY: S5,LC
ABLI,Abraham Lincoln Birthplace National Historical Park,CUPN,NE,KY,173592,Caudata,Ambystomatidae,Ambystoma tigrinum,Eastern Tiger Salamander,2020-09-08,Present,,https://www.nps.gov/abli/learn/nature/amphibian-list.htm,,Present,,Unknown,Native,G5,KY: S4,LC
ABLI,Abraham Lincoln Birthplace National Historical Park,CUPN,NE,KY,773511,Anura,Bufonidae,Anaxyrus americanus,American Toad,2020-09-08,Present,,https://irma.nps.gov/DataStore/DownloadFile/420948,Bufo americanus,Present,,Uncommon,Native,G5,KY: S5,LC
ABLI,Abraham Lincoln Birthplace National Historical Park,CUPN,NE,KY,773520,Anura,Bufonidae,Anaxyrus fowleri,Fowler's Toad,2020-09-08,Adjacent,Observed within a few miles of the park unit,https://irma.nps.gov/DataStore/DownloadFile/420948,Bufo fowleri,Probably Present,,,Native,G5,KY: S5,LC
ABLI,Abraham Lincoln Birthplace National Historical Park,CUPN,NE,KY,173587,Caudata,Cryptobranchidae,Cryptobranchus alleganiensis,"Hellbender, Eastern Hellbender",2020-09-08,Historical,Added manually; the 2007 I&M report used as the verified source mentions this species; species not reported on NPSpecies or park website as of 2023; maybe absent due to lack of suitable habitat i.e. no bigger rivers; doubtful species is present as of 2023 based on pers. comm. with Matt Niemiller,https://irma.nps.gov/DataStore/DownloadFile/420948,,Unconfirmed,,,Native,G3,KY: SNR,VU
ABLI,Abraham Lincoln Birthplace National Historical Park,CUPN,NE,KY,173633,Caudata,Plethodontidae,Desmognathus fuscus,"Dusky Salamander, Northern Dusky Salamander",2020-09-08,Possible,Expected but not observed.; this population would be either D. fuscus A or D. fuscus B lineage (Pyron et al. 2022) and not both lineages at this spot based on pers. comm. with Todd Pierson,https://irma.nps.gov/DataStore/DownloadFile/420948,,Unconfirmed,,,Native,G5,KY: S5,LC
ABLI,Abraham Lincoln Birthplace National Historical Park,CUPN,NE,KY,550246,Caudata,Plethodontidae,Eurycea cirrigera,Southern Two-lined Salamander,2020-09-08,Present,"These populations are Lineage D  and will eventually be recognized as a NEW SPECIES that is different than E. cirrigera from Alabama, Georgia, etc. based on pers. comm. with Todd Pierson, David Beamer, Alex Pyron, Kozak 2006 and Pierson 2019",https://www.nps.gov/abli/learn/nature/amphibian-list.htm,,Present,,Common,Native,G5,KY: S5,LC
ABLI,Abraham Lincoln Birthplace National Historical Park,CUPN,NE,KY,173687,Caudata,Plethodontidae,Eurycea longicauda,Long-tailed Salamander,2020-09-08,Present,,https://www.nps.gov/abli/learn/nature/amphibian-list.htm,,Present,,Common,Native,G5,KY: S5,LC
ABLI,Abraham Lincoln Birthplace National Historical Park,CUPN,NE,KY,173691,Caudata,Plethodontidae,Eurycea lucifuga,Cave Salamander,2020-09-08,Adjacent,Expected but not observed,https://irma.nps.gov/DataStore/DownloadFile/420948,,Unconfirmed,,,Native,G5,KY: S5,LC
ABLI,Abraham Lincoln Birthplace National Historical Park,CUPN,NE,KY,173467,Anura,Microhylidae,Gastrophryne carolinensis,Eastern Narrow-mouthed Toad,2020-09-08,Possible,"Known to be in the area, but no references found near ALBI as of 2023",https://irma.nps.gov/DataStore/DownloadFile/420948,,Unconfirmed,,,Native,G5,KY: S4,LC
ABLI,Abraham Lincoln Birthplace National Historical Park,CUPN,NE,KY,173678,Caudata,Plethodontidae,Hemidactylium scutatum,Four-toed Salamander,2020-09-08,Possible,Added manually; the 2007 I&M report used as the verified source mentions this species but it is not reported on NPSpecies or the website,https://irma.nps.gov/DataStore/DownloadFile/420948,,Unconfirmed,,,Native,G5,KY: S4,LC
ABLI,Abraham Lincoln Birthplace National Historical Park,CUPN,NE,KY,173502,Anura,Hylidae,Hyla chrysoscelis,Cope's Gray Treefrog,2020-09-08,Present,,https://irma.nps.gov/DataStore/DownloadFile/420948,Hyla chrysoscelis,Present,,Unknown,Native,G5,KY: S5,LC
ABLI,Abraham Lincoln Birthplace National Historical Park,CUPN,NE,KY,775084,Anura,Ranidae,Lithobates catesbeianus,American Bullfrog,2020-09-08,Present,Not on website; the 2007 I&M report used as the verified source mentions this species,https://irma.nps.gov/DataStore/DownloadFile/420948,Rana catesbeiana,Present,,Uncommon,Native,G5,KY: S5,LC
ABLI,Abraham Lincoln Birthplace National Historical Park,CUPN,NE,KY,775087,Anura,Ranidae,Lithobates clamitans,"Green Frog, Northern Green Frog",2020-09-08,Present,,https://www.nps.gov/abli/learn/nature/amphibian-list.htm,Rana clamitans,Present,,Common,Native,G5,KY: S5,LC
ABLI,Abraham Lincoln Birthplace National Historical Park,CUPN,NE,KY,775107,Anura,Ranidae,Lithobates palustris,Pickerel Frog,2020-09-08,Present,,https://www.nps.gov/abli/learn/nature/amphibian-list.htm,Rana palustris,Present,,Uncommon,Native,G5,KY: S5,LC
ABLI,Abraham Lincoln Birthplace National Historical Park,CUPN,NE,KY,775116,Anura,Ranidae,Lithobates sphenocephalus,Southern Leopard Frog,2020-09-08,Present,,https://www.nps.gov/abli/learn/nature/amphibian-list.htm,Rana sphenocephala,Present,,Common,Native,G5,KY: S5,LC
ABLI,Abraham Lincoln Birthplace National Historical Park,CUPN,NE,KY,775117,Anura,Ranidae,Lithobates sylvaticus,Wood Frog,2020-09-08,Present,,https://www.nps.gov/abli/learn/nature/amphibian-list.htm,Rana sylvatica,Present,,Unknown,Native,G5,KY: S5,LC
ABLI,Abraham Lincoln Birthplace National Historical Park,CUPN,NE,KY,173630,Caudata,Proteidae,Necturus maculosus,Mudpuppy,2020-09-08,Present,Added manually; addition of record based on website data but not reported on NPSpecies or the IRMA 2007 Report; maybe absent due to lack of suitable habitat and no bigger rivers,https://www.nps.gov/abli/learn/nature/amphibian-list.htm,,Unconfirmed,,,Native,G5,KY: S5,LC
ABLI,Abraham Lincoln Birthplace National Historical Park,CUPN,NE,KY,173615,Caudata,Salamandridae,Notophthalmus viridescens,"Eastern Newt, Red-spotted Newt",2020-09-08,Present,Not on website; the 2007 I&M report used as the verified source mentions this species,https://irma.nps.gov/DataStore/DownloadFile/420948,,Present,,Common,Native,G5,KY: S5,LC
ABLI,Abraham Lincoln Birthplace National Historical Park,CUPN,NE,KY,173650,Caudata,Plethodontidae,Plethodon glutinosus,"Slimy Salamander, Northern Slimy Salamander",2020-09-08,Present,,https://www.nps.gov/abli/learn/nature/amphibian-list.htm,,Present,,Common,Native,G5,KY: S5,LC
ABLI,Abraham Lincoln Birthplace National Historical Park,CUPN,NE,KY,668324,Caudata,Plethodontidae,Plethodon ventralis,Southern Zig-zag Salamander,2023-08-02,Present,,https://www.nps.gov/abli/learn/nature/amphibian-list.htm,,Present,,Unknown,Native,G4,KY: S5,LC
ABLI,Abraham Lincoln Birthplace National Historical Park,CUPN,NE,KY,207303,Anura,Hylidae,Pseudacris crucifer,Spring Peeper,2020-09-08,Present,,https://irma.nps.gov/DataStore/DownloadFile/420948,,Present,,Unknown,Native,G5,KY: S5,LC
ABLI,Abraham Lincoln Birthplace National Historical Park,CUPN,NE,KY,207307,Anura,Hylidae,Pseudacris feriarum,"Upland Chorus Frog, Southeastern Chorus Frog",2020-09-08,Adjacent,,https://irma.nps.gov/DataStore/DownloadFile/420948,Pseudacris triseriata feriarum,Not In Park,Adjacent,,Native,G5,KY: S5,LC
ABLI,Abraham Lincoln Birthplace National Historical Park,CUPN,NE,KY,173682,Caudata,Plethodontidae,Pseudotriton montanus,"Mud Salamander, Eastern Mud Salamander",2023-05-28,Possible,The deepest split in mud salamanders in David Beamer's genomic dataset for Pseudotriton is between diastictus and everything else and P. diastictus will ultimately be the species name for this record,https://irma.nps.gov/DataStore/DownloadFile/420948,Pseudotriton montanus diastictus,Unconfirmed,,,Native,G5,KY: S3,LC
ABLI,Abraham Lincoln Birthplace National Historical Park,CUPN,NE,KY,173680,Caudata,Plethodontidae,Pseudotriton ruber,"Red Salamander, Northern Red Salamander",2020-09-08,Adjacent,Expected but not observed,https://irma.nps.gov/DataStore/DownloadFile/420948,,Unconfirmed,,,Native,G5,KY: S5,LC
ABLI,Abraham Lincoln Birthplace National Historical Park,CUPN,NE,KY,173426,Anura,Scaphiopodidae,Scaphiopus holbrookii,Eastern Spadefoot,2020-09-08,Adjacent,Observed within a few miles of the park,https://irma.nps.gov/DataStore/DownloadFile/420948,,Unconfirmed,,,Native,G5,KY: S4,LC
